[2023-08-09 16:04:27,415] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2023-08-09 16:15:35,421] INFO [ExpirationReaper-0-Heartbeat]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,520] INFO [ExpirationReaper-0-Heartbeat]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,520] INFO [ExpirationReaper-0-Heartbeat]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,521] INFO [ExpirationReaper-0-Rebalance]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,593] INFO [ExpirationReaper-0-Rebalance]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,593] INFO [ExpirationReaper-0-Rebalance]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,594] INFO [GroupCoordinator 0]: Shutdown complete. (kafka.coordinator.group.GroupCoordinator)
[2023-08-09 16:15:35,594] INFO [ReplicaManager broker=0] Shutting down (kafka.server.ReplicaManager)
[2023-08-09 16:15:35,595] INFO [LogDirFailureHandler]: Shutting down (kafka.server.ReplicaManager$LogDirFailureHandler)
[2023-08-09 16:15:35,595] INFO [LogDirFailureHandler]: Stopped (kafka.server.ReplicaManager$LogDirFailureHandler)
[2023-08-09 16:15:35,595] INFO [LogDirFailureHandler]: Shutdown completed (kafka.server.ReplicaManager$LogDirFailureHandler)
[2023-08-09 16:15:35,595] INFO [ReplicaFetcherManager on broker 0] shutting down (kafka.server.ReplicaFetcherManager)
[2023-08-09 16:15:35,596] INFO [ReplicaFetcherManager on broker 0] shutdown completed (kafka.server.ReplicaFetcherManager)
[2023-08-09 16:15:35,596] INFO [ReplicaAlterLogDirsManager on broker 0] shutting down (kafka.server.ReplicaAlterLogDirsManager)
[2023-08-09 16:15:35,596] INFO [ReplicaAlterLogDirsManager on broker 0] shutdown completed (kafka.server.ReplicaAlterLogDirsManager)
[2023-08-09 16:15:35,596] INFO [ExpirationReaper-0-Fetch]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,731] INFO [ExpirationReaper-0-Fetch]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,731] INFO [ExpirationReaper-0-Fetch]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,731] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,765] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,765] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,766] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,836] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,836] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,837] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,995] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,995] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2023-08-09 16:15:35,997] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2023-08-09 16:15:35,997] INFO Shutting down. (kafka.log.LogManager)
[2023-08-09 16:15:36,073] INFO [ProducerStateManager partition=hello.kafka-2] Writing producer snapshot at offset 7 (kafka.log.ProducerStateManager)
[2023-08-09 16:15:36,087] INFO [ProducerStateManager partition=__consumer_offsets-33] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2023-08-09 16:15:36,171] INFO [ProducerStateManager partition=hello.kafka-0] Writing producer snapshot at offset 2 (kafka.log.ProducerStateManager)
[2023-08-09 16:15:36,195] INFO [ProducerStateManager partition=__consumer_offsets-45] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2023-08-09 16:15:36,208] INFO [ProducerStateManager partition=hello.kafka-1] Writing producer snapshot at offset 4 (kafka.log.ProducerStateManager)
[2023-08-09 16:15:36,244] INFO Shutdown complete. (kafka.log.LogManager)
[2023-08-09 16:15:36,247] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2023-08-09 16:15:36,359] INFO EventThread shut down for session: 0x10000243fe60000 (org.apache.zookeeper.ClientCnxn)
[2023-08-09 16:15:36,359] INFO Session: 0x10000243fe60000 closed (org.apache.zookeeper.ZooKeeper)
[2023-08-09 16:15:36,360] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2023-08-09 16:15:36,360] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:36,570] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:36,570] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:36,570] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,470] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,470] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,470] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,565] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,565] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-08-09 16:15:37,567] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2023-08-09 16:15:37,577] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2023-08-09 16:15:37,579] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
